ID,fixed acidity,wine type,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1010,8.1,white,0.27,0.35,1.7,0.03,38.0,103.0,0.99255,3.22,0.63,10.4,8
1011,7.8,white,0.32,0.31,1.7,0.036,46.0,195.0,0.993,3.03,0.48,10.5,5
1012,6.6,white,0.15,0.32,6.0,0.033,59.0,128.0,0.99192,3.19,0.71,12.1,8
1013,6.4,white,0.35,0.21,2.1,0.051,46.0,171.0,0.9932,3.16,0.5,9.5,5
1014,5.2,white,0.24,0.45,3.8,0.027,21.0,128.0,0.992,3.55,0.49,11.2,8
1015,6.5,white,0.23,0.38,1.3,0.032,29.0,112.0,0.99298,3.29,0.54,9.7,5
1016,6.6,white,0.26,0.36,1.2,0.035,43.0,126.0,0.99094,3.01,0.63,11.4,6
1017,7.4,white,0.25,0.36,13.2,0.067,53.0,178.0,0.9976,3.01,0.48,9.0,6
1018,15.0,red,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7
1019,7.0,red,0.975,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,9.4,4
1020,6.7,white,0.19,0.39,1.0,0.032,14.0,71.0,0.98912,3.31,0.38,13.0,7
1021,7.0,red,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,6
1022,8.4,red,0.31,0.29,3.1,0.194,14.0,26.0,0.99536,3.22,0.78,12.0,6
1023,7.1,white,0.18,0.26,1.3,0.041,20.0,71.0,0.9926,3.04,0.74,9.9,6
1024,6.4,white,0.33,0.44,8.9,0.055,52.0,164.0,0.99488,3.1,0.48,9.6,5
1025,6.4,white,0.13,0.47,1.6,0.092,40.0,158.0,0.9928,3.21,0.36,9.8,6
1026,8.8,white,0.24,0.23,10.3,0.032,12.0,97.0,0.99571,3.13,0.4,10.7,6
1027,7.2,white,0.32,0.4,8.7,0.038,45.0,154.0,0.99568,3.2,0.47,10.4,6
1028,6.2,white,0.39,0.24,4.8,0.037,45.0,138.0,0.99174,3.23,0.43,11.2,7
1029,8.2,red,0.31,0.4,2.2,0.058,6.0,10.0,0.99536,3.31,0.68,11.2,7
1030,8.7,red,0.42,0.45,2.4,0.072,32.0,59.0,0.99617,3.33,0.77,12.0,6
1031,6.2,white,0.15,0.49,0.9,0.033,17.0,51.0,0.9932,3.3,0.7,9.4,6
1032,8.5,white,0.19,0.48,1.1,0.026,23.0,58.0,0.99184,2.9,0.5,10.5,6
1033,8.2,white,0.18,0.49,1.1,0.033,28.0,81.0,0.9923,3.0,0.68,10.4,7
1034,7.3,white,0.43,0.37,4.6,0.028,17.0,114.0,0.991,3.23,0.43,13.2,6
1035,8.7,white,0.15,0.3,1.6,0.046,29.0,130.0,0.9942,3.22,0.38,9.8,6
1036,7.1,white,0.21,0.28,2.7,0.034,23.0,111.0,0.99405,3.35,0.64,10.2,4
1037,6.2,white,0.21,0.29,1.6,0.039,24.0,92.0,0.99114,3.27,0.5,11.2,6
1038,6.4,red,0.36,0.21,2.2,0.047,26.0,48.0,0.99661,3.47,0.77,9.7,6
1039,7.4,white,0.33,0.44,7.6,0.05,40.0,227.0,0.99679,3.12,0.52,9.0,5
1040,6.6,white,0.25,0.36,8.1,0.045,54.0,180.0,0.9958,3.08,0.42,9.2,5
1041,6.2,white,0.17,0.3,1.1,0.037,14.0,79.0,0.993,3.5,0.54,10.3,6
1042,6.2,white,0.16,0.32,1.1,0.036,74.0,184.0,0.99096,3.22,0.41,11.0,6
1043,7.0,white,0.4,0.25,1.8,0.05,51.0,189.0,0.99174,3.0,0.55,11.4,6
1044,8.9,red,0.48,0.24,2.85,0.094,35.0,106.0,0.9982,3.1,0.53,9.2,5
1045,6.4,white,0.2,0.28,2.5,0.032,24.0,84.0,0.99168,3.31,0.55,11.5,5
1046,5.6,white,0.2,0.36,2.5,0.048,16.0,125.0,0.99282,3.49,0.49,10.0,6
1047,11.3,red,0.36,0.66,2.4,0.123,3.0,8.0,0.99642,3.2,0.53,11.9,6
1048,12.5,red,0.6,0.49,4.3,0.1,5.0,14.0,1.001,3.25,0.74,11.9,6
1049,6.5,white,0.24,0.36,2.2,0.027,36.0,134.0,0.9898,3.28,0.36,12.5,7
1050,6.4,white,0.17,0.27,9.9,0.047,26.0,101.0,0.99596,3.34,0.5,9.9,6
1051,8.1,white,0.17,0.21,1.6,0.036,24.0,119.0,0.99396,3.18,0.52,10.1,6
1052,7.2,white,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7,6
1053,6.0,white,0.25,0.28,2.2,0.026,54.0,126.0,0.9898,3.43,0.65,12.9,8
1054,7.8,red,0.34,0.37,2.0,0.082,24.0,58.0,0.9964,3.34,0.59,9.4,6
1055,8.0,white,0.24,0.3,17.45,0.056,43.0,184.0,0.9997,3.05,0.5,9.2,6
1056,5.8,white,0.6,0.0,1.3,0.044,72.0,197.0,0.99202,3.56,0.43,10.9,5
1057,6.9,red,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5
1058,8.5,white,0.23,0.34,1.3,0.035,54.0,110.0,0.99176,3.07,0.55,11.0,7
1059,6.8,white,0.37,0.51,11.8,0.044,62.0,163.0,0.9976,3.19,0.44,8.8,5
1060,5.7,white,0.21,0.37,4.5,0.04,58.0,140.0,0.99332,3.29,0.62,10.6,6
1061,7.8,white,0.445,0.56,1.0,0.04,8.0,84.0,0.9938,3.25,0.43,10.8,5
1062,7.2,white,0.28,0.3,10.7,0.044,61.0,222.0,0.9972,3.14,0.5,9.1,6
1063,5.4,white,0.27,0.22,4.6,0.022,29.0,107.0,0.98889,3.33,0.54,13.8,6
1064,6.8,white,0.27,0.22,17.8,0.034,16.0,116.0,0.9989,3.07,0.53,9.2,5
1065,6.6,white,0.19,0.28,11.8,0.042,54.0,137.0,0.99492,3.18,0.37,10.8,6
1066,7.6,white,0.32,0.58,16.75,0.05,43.0,163.0,0.9999,3.15,0.54,9.2,5
1067,8.5,white,0.22,0.34,0.7,0.04,5.0,25.0,0.9918,3.04,0.37,10.5,4
1068,6.4,white,0.475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,5
1069,6.4,white,0.2,0.32,3.1,0.041,18.0,126.0,0.9914,3.43,0.42,12.0,6
1070,5.9,white,0.2,0.28,12.8,0.038,29.0,132.0,0.99426,3.31,0.57,11.8,7
1071,6.9,white,0.23,0.24,14.2,0.053,19.0,94.0,0.9982,3.17,0.5,9.6,5
1072,4.7,red,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,6
1073,7.7,white,0.28,0.58,12.1,0.046,60.0,177.0,0.9983,3.08,0.46,8.9,5
1074,6.9,white,0.28,0.4,8.2,0.036,15.0,95.0,0.9944,3.17,0.33,10.2,5
1075,6.7,white,0.25,0.31,1.35,0.061,30.5,218.0,0.99388,3.16,0.53,9.5,5
1076,7.1,white,0.36,0.2,1.6,0.271,24.0,140.0,0.99356,3.11,0.63,9.8,5
1077,9.9,red,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,5
1078,7.3,white,0.28,0.36,12.7,0.04,38.0,140.0,0.998,3.3,0.79,9.6,6
1079,5.8,white,0.26,0.18,1.2,0.031,40.0,114.0,0.9908,3.42,0.4,11.0,7
1080,5.8,white,0.36,0.26,3.3,0.038,40.0,153.0,0.9911,3.34,0.55,11.3,6
1081,7.0,white,0.17,0.42,1.0,0.075,19.0,71.0,0.99103,3.32,0.62,11.4,6
1082,6.0,white,0.24,0.27,1.9,0.048,40.0,170.0,0.9938,3.64,0.54,10.0,7
1083,7.1,white,0.25,0.28,1.2,0.04,31.0,111.0,0.99174,3.18,0.53,11.1,5
1084,6.5,white,0.23,0.2,7.5,0.05,44.0,179.0,0.99504,3.18,0.48,9.53333333333333,5
1085,6.0,white,0.22,0.25,11.1,0.056,112.0,177.0,0.9961,3.08,0.36,9.4,6
1086,6.0,white,0.34,0.29,6.1,0.046,29.0,134.0,0.99462,3.48,0.57,10.7,6
1087,6.8,red,0.67,0.15,1.8,0.118,13.0,20.0,0.9954,3.42,0.67,11.3,6
1088,7.1,red,0.65,0.18,1.8,0.07,13.0,40.0,0.997,3.44,0.6,9.1,5
1089,6.9,white,0.15,0.28,4.4,0.029,14.0,107.0,0.99347,3.24,0.46,10.4,8
1090,6.4,white,0.33,0.24,9.8,0.041,29.0,109.0,0.9956,3.29,0.47,10.1,6
1091,6.2,white,0.24,0.22,7.9,0.053,45.0,149.0,0.99545,3.23,0.52,9.3,5
1092,6.8,white,0.23,0.39,16.1,0.053,71.0,194.0,0.9988,3.18,0.64,10.2,6
1093,6.6,red,0.695,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,9.2,5
1094,6.2,white,0.25,0.54,7.0,0.046,58.0,176.0,0.99454,3.19,0.7,10.4,5
1095,6.1,red,0.21,0.4,1.4,0.066,40.5,165.0,0.9912,3.25,0.59,11.9,6
1096,10.4,red,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,6
1097,6.8,white,0.24,0.29,2.0,0.044,15.0,96.0,0.99232,3.23,0.64,10.4,8
1098,6.8,red,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5
1099,6.9,white,0.37,0.23,9.5,0.057,54.0,166.0,0.99568,3.23,0.42,10.0,5
1100,7.3,red,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5
1101,5.8,white,0.29,0.38,10.7,0.038,49.0,136.0,0.99366,3.11,0.59,11.2,6
1102,6.4,white,0.14,0.31,1.2,0.034,53.0,138.0,0.99084,3.38,0.35,11.5,7
1103,6.7,white,0.33,0.34,7.5,0.036,39.0,124.0,0.99123,2.99,0.32,12.4,8
1104,10.4,red,0.44,0.73,6.55,0.074,38.0,76.0,0.999,3.17,0.85,12.0,7
1105,6.8,white,0.34,0.74,2.8,0.088,23.0,185.0,0.9928,3.51,0.7,12.0,6
1106,7.9,red,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6
1107,6.5,white,0.29,0.32,3.0,0.036,38.0,93.0,0.9906,3.16,0.59,12.0,6
1108,6.5,white,0.23,0.36,16.3,0.038,43.0,133.0,0.99924,3.26,0.41,8.8,5
1109,7.2,white,0.16,0.32,0.8,0.04,50.0,121.0,0.9922,3.27,0.33,10.0,6
1110,8.6,red,0.635,0.68,1.8,0.403,19.0,56.0,0.99632,3.02,1.15,9.3,5
1111,7.3,white,0.3,0.42,7.35,0.025,51.0,175.0,0.9928,3.04,0.32,11.4,6
1112,6.8,white,0.19,0.71,17.5,0.042,21.0,114.0,0.99784,2.85,0.5,9.5,6
1113,8.8,white,0.36,0.44,1.9,0.04,9.0,121.0,0.9953,3.19,0.48,9.9,6
1114,7.0,white,0.2,0.31,8.0,0.05,29.0,213.0,0.99596,3.28,0.57,10.4,6
1115,6.2,white,0.3,0.31,1.6,0.035,40.0,106.0,0.98914,3.26,0.39,12.9,7
1116,6.4,red,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5
1117,7.4,white,0.35,0.31,17.95,0.062,42.0,187.0,1.0002,3.27,0.64,9.1,5
1118,7.8,red,0.7,0.06,1.9,0.079,20.0,35.0,0.99628,3.4,0.69,10.9,5
1119,7.1,red,0.59,0.01,2.3,0.08,27.0,43.0,0.9955,3.42,0.58,10.7,6
1120,6.2,white,0.3,0.26,13.4,0.046,57.0,206.0,0.99775,3.17,0.43,9.5,6
1121,5.9,red,0.61,0.08,2.1,0.071,16.0,24.0,0.99376,3.56,0.77,11.1,6
1122,6.2,white,0.255,0.24,1.7,0.039,138.5,272.0,0.99452,3.53,0.53,9.6,4
1123,12.6,red,0.31,0.72,2.2,0.072,6.0,29.0,0.9987,2.88,0.82,9.8,8
1124,7.7,white,0.32,0.62,10.6,0.036,56.0,153.0,0.9978,3.13,0.44,8.9,6
1125,6.7,white,0.18,0.31,10.6,0.035,42.0,143.0,0.99572,3.08,0.49,9.8,7
1126,7.3,white,0.19,0.25,1.4,0.051,41.0,107.0,0.99382,3.53,0.66,10.5,7
1127,10.0,red,0.43,0.33,2.7,0.095,28.0,89.0,0.9984,3.22,0.68,10.0,5
1128,7.6,red,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5
1129,8.2,red,0.64,0.27,2.0,0.095,5.0,77.0,0.99747,3.13,0.62,9.1,6
1130,8.5,red,0.32,0.42,2.3,0.075,12.0,19.0,0.99434,3.14,0.71,11.8,7
1131,9.2,white,0.15,0.68,1.6,0.046,22.0,130.0,0.9948,3.02,0.45,10.4,6
1132,7.1,white,0.28,0.19,7.8,0.04,48.0,184.0,0.99579,3.16,0.5,9.4,5
1133,6.5,white,0.28,0.28,8.5,0.047,54.0,210.0,0.9962,3.09,0.54,8.9,4
1134,6.9,white,0.4,0.37,8.9,0.053,36.0,148.0,0.996,3.16,0.5,9.3,5
1135,7.1,red,0.59,0.02,2.3,0.082,24.0,94.0,0.99744,3.55,0.53,9.7,6
1136,7.3,white,0.3,0.74,13.5,0.039,46.0,165.0,0.9982,3.02,0.4,8.7,5
1137,15.6,red,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,5
1138,6.1,white,0.35,0.07,1.4,0.069,22.0,108.0,0.9934,3.23,0.52,9.2,5
1139,6.0,white,0.21,0.29,13.1,0.042,28.0,125.0,0.99936,3.39,0.45,8.6,5
1140,5.3,white,0.16,0.39,1.0,0.028,40.0,101.0,0.99156,3.57,0.59,10.6,6
1141,6.7,white,0.24,0.32,10.3,0.079,37.0,122.0,0.99662,3.02,0.45,8.8,5
1142,9.8,red,0.44,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8,6
1143,12.0,red,0.39,0.66,3.0,0.093,12.0,30.0,0.9996,3.18,0.63,10.8,7
1144,9.8,white,0.44,0.4,2.8,0.036,35.0,167.0,0.9956,2.97,0.39,9.2,5
1145,8.5,white,0.15,0.49,1.5,0.031,17.0,122.0,0.9932,3.03,0.4,10.3,6
1146,9.0,white,0.55,0.3,8.1,0.026,14.0,71.0,0.993,2.94,0.36,11.8,5
1147,7.0,white,0.2,0.33,4.7,0.03,25.0,76.0,0.99202,2.88,0.54,10.5,6
1148,6.0,white,0.28,0.22,12.15,0.048,42.0,163.0,0.9957,3.2,0.46,10.1,5
1149,6.8,red,0.56,0.22,1.8,0.074,15.0,24.0,0.99438,3.4,0.82,11.2,6
1150,6.9,white,0.28,0.3,8.3,0.026,37.0,113.0,0.99139,2.99,0.38,12.3,8
1151,5.9,white,0.655,0.0,5.6,0.033,8.0,31.0,0.9936,3.32,0.51,10.5,4
1152,7.5,white,0.29,0.31,8.95,0.055,20.0,151.0,0.9968,3.08,0.54,9.3,5
1153,6.7,white,0.42,0.46,9.7,0.054,67.0,234.0,0.99848,3.23,0.5,9.0,5
1154,6.2,white,0.39,0.24,4.8,0.037,45.0,138.0,0.99174,3.23,0.43,11.2,7
1155,7.2,white,0.29,0.18,8.2,0.042,41.0,180.0,0.99644,3.16,0.49,9.1,5
1156,6.6,white,0.27,0.3,1.9,0.025,14.0,153.0,0.9928,3.29,0.62,10.5,6
1157,6.8,white,0.27,0.3,13.0,0.047,69.0,160.0,0.99705,3.16,0.5,9.6,6
1158,7.4,white,0.32,0.22,11.7,0.035,44.0,150.0,0.99578,3.1,0.45,10.4,5
1159,6.8,white,0.25,0.28,5.0,0.035,42.0,126.0,0.99048,3.12,0.38,12.6,7
1160,8.2,white,0.23,0.29,1.8,0.047,47.0,187.0,0.9933,3.13,0.5,10.2,6
1161,8.2,red,0.915,0.27,2.1,0.088,7.0,23.0,0.9962,3.26,0.47,10.0,4
1162,6.9,white,0.42,0.2,15.4,0.043,57.0,201.0,0.99848,3.08,0.54,9.4,5
1163,6.7,white,0.22,0.37,1.6,0.028,24.0,102.0,0.9913,3.29,0.59,11.6,7
1164,6.1,white,0.25,0.18,10.5,0.049,41.0,124.0,0.9963,3.14,0.35,10.5,5
1165,6.7,red,0.86,0.07,2.0,0.1,20.0,57.0,0.99598,3.6,0.74,11.7,6
1166,3.8,white,0.31,0.02,11.1,0.036,20.0,114.0,0.99248,3.75,0.44,12.4,6
1167,6.5,red,0.46,0.14,2.4,0.114,9.0,37.0,0.99732,3.66,0.65,9.8,5
1168,7.2,white,0.16,0.49,1.3,0.037,27.0,104.0,0.9924,3.23,0.57,10.6,6
1169,8.4,white,0.22,0.28,18.8,0.028,55.0,130.0,0.998,2.96,0.35,11.6,5
1170,7.5,white,0.2,0.41,1.2,0.05,26.0,131.0,0.99133,3.19,0.52,11.1,5
1171,6.2,white,0.27,0.32,6.3,0.048,47.0,159.0,0.99282,3.21,0.6,11.0,6
1172,8.4,white,0.19,0.42,1.6,0.047,9.0,101.0,0.994,3.06,0.65,11.1,4
1173,6.7,white,0.34,0.4,2.1,0.033,34.0,111.0,0.98924,2.97,0.48,12.2,7
1174,8.1,red,0.87,0.0,2.2,0.084,10.0,31.0,0.99656,3.25,0.5,9.8,5
1175,9.2,white,0.35,0.39,0.9,0.042,15.0,61.0,0.9924,2.96,0.28,10.4,4
1176,7.7,red,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,5
1177,6.7,white,0.16,0.32,12.5,0.035,18.0,156.0,0.99666,2.88,0.36,9.0,6
1178,8.3,white,0.14,0.45,1.5,0.039,18.0,98.0,0.99215,3.02,0.56,11.0,6
1179,5.8,white,0.2,0.34,1.0,0.035,40.0,86.0,0.98993,3.5,0.42,11.7,5
1180,7.6,white,0.17,0.35,1.6,0.047,43.0,154.0,0.9934,3.36,0.69,11.1,6
1181,10.3,red,0.43,0.44,2.4,0.214,5.0,12.0,0.9994,3.19,0.63,9.5,6
1182,5.4,white,0.29,0.47,3.0,0.052,47.0,145.0,0.993,3.29,0.75,10.0,6
1183,6.8,red,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,9.5,5
1184,8.0,white,0.14,0.33,1.2,0.045,71.0,162.0,0.9914,3.07,0.47,11.0,6
1185,7.9,white,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,5
1186,6.2,white,0.2,0.26,1.1,0.047,42.0,119.0,0.99158,3.48,0.6,11.0,7
1187,8.8,red,0.42,0.21,2.5,0.092,33.0,88.0,0.99823,3.19,0.52,9.2,5
1188,5.8,white,0.34,0.21,7.2,0.041,48.0,146.0,0.99441,3.16,0.49,9.8,5
1189,9.7,white,0.14,0.59,1.5,0.049,23.0,142.0,0.9958,2.98,0.62,9.5,5
1190,7.3,white,0.22,0.37,14.3,0.063,48.0,191.0,0.9978,2.89,0.38,9.0,6
1191,6.2,white,0.28,0.22,7.3,0.041,26.0,157.0,0.9957,3.44,0.64,9.8,7
1192,7.4,white,0.17,0.4,5.5,0.037,34.0,161.0,0.9935,3.05,0.62,11.5,4
1193,8.9,red,0.875,0.13,3.45,0.088,4.0,14.0,0.9994,3.44,0.52,11.5,5
1194,5.6,white,0.29,0.05,0.8,0.038,11.0,30.0,0.9924,3.36,0.35,9.2,5
1195,7.9,red,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,3.29,0.65,9.3,5
1196,8.0,red,0.18,0.37,0.9,0.049,36.0,109.0,0.99007,2.89,0.44,12.7,6
1197,6.7,white,0.31,0.31,9.9,0.04,10.0,175.0,0.9953,3.46,0.55,11.4,4
1198,6.3,white,0.28,0.47,11.2,0.04,61.0,183.0,0.99592,3.12,0.51,9.5,6
1199,6.0,white,0.25,0.28,7.7,0.053,37.0,132.0,0.99489,3.06,0.5,9.4,6
1200,6.6,white,0.3,0.45,8.0,0.038,54.0,200.0,0.9956,3.18,0.48,9.5,5
1201,5.8,white,0.555,0.26,4.5,0.053,17.0,126.0,0.9943,3.24,0.46,9.1,5
1202,7.6,white,0.2,0.34,1.8,0.041,42.0,148.0,0.99335,3.35,0.66,11.1,6
1203,8.4,white,0.2,0.27,6.3,0.048,30.0,143.0,0.9966,3.25,0.5,9.1,6
1204,8.0,red,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,9.3,5
1205,9.6,red,0.38,0.31,2.5,0.096,16.0,49.0,0.9982,3.19,0.7,10.0,7
1206,5.0,white,0.29,0.54,5.7,0.035,54.0,155.0,0.98976,3.27,0.34,12.9,8
1207,10.3,white,0.25,0.48,2.2,0.042,28.0,164.0,0.998,3.19,0.59,9.7,5
1208,6.4,white,0.22,0.34,1.4,0.023,56.0,115.0,0.98958,3.18,0.7,11.7,6
1209,7.3,red,0.835,0.03,2.1,0.092,10.0,19.0,0.9966,3.39,0.47,9.6,5
1210,7.5,red,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6
1211,7.1,white,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,6
1212,6.3,white,0.23,0.21,5.1,0.035,29.0,142.0,0.9942,3.36,0.33,10.1,7
1213,6.3,white,0.43,0.32,8.8,0.042,18.0,106.0,0.99172,3.28,0.33,12.9,7
1214,5.8,white,0.39,0.47,7.5,0.027,12.0,88.0,0.9907,3.38,0.45,14.0,6
1215,6.0,white,0.24,0.27,1.9,0.048,40.0,170.0,0.9938,3.64,0.54,10.0,7
1216,6.8,white,0.23,0.48,1.5,0.036,35.0,165.0,0.99162,3.18,0.45,11.3,6
1217,6.0,white,0.45,0.65,9.7,0.08,11.0,159.0,0.9956,3.04,0.48,9.4,5
1218,7.4,white,0.28,0.36,14.6,0.048,35.0,161.0,0.9968,3.14,0.56,10.6,5
1219,9.7,red,0.31,0.47,1.6,0.062,13.0,33.0,0.9983,3.27,0.66,10.0,6
1220,7.1,white,0.29,0.34,7.8,0.036,49.0,128.0,0.99397,3.21,0.4,10.7,6
1221,6.9,white,0.41,0.22,4.2,0.031,10.0,102.0,0.993,3.0,0.86,11.6,4
1222,6.1,red,0.56,0.0,2.2,0.079,6.0,9.0,0.9948,3.59,0.54,11.5,6
1223,6.8,white,0.27,0.3,13.0,0.047,69.0,160.0,0.99705,3.16,0.5,9.6,6
1224,6.5,white,0.27,0.19,6.6,0.045,98.0,175.0,0.99364,3.16,0.34,10.1,6
1225,7.2,white,0.29,0.4,13.6,0.045,66.0,231.0,0.9977,3.08,0.59,9.6,6
1226,5.6,red,0.54,0.04,1.7,0.049,5.0,13.0,0.9942,3.72,0.58,11.4,5
1227,11.6,red,0.42,0.53,3.3,0.105,33.0,98.0,1.001,3.2,0.95,9.2,5
1228,7.0,white,0.34,0.1,3.5,0.044,17.0,63.0,0.9937,3.01,0.39,9.2,5
1229,10.0,red,0.46,0.44,2.9,0.065,4.0,8.0,0.99674,3.33,0.62,12.2,6
1230,8.1,white,0.45,0.34,8.3,0.037,33.0,216.0,0.9976,3.31,0.64,9.7,5
1231,7.9,red,0.49,0.32,1.9,0.082,17.0,144.0,0.9968,3.2,0.55,9.5,5
1232,7.8,white,0.4,0.49,7.8,0.06,34.0,162.0,0.9966,3.26,0.58,11.3,6
1233,6.6,white,0.22,0.23,17.3,0.047,37.0,118.0,0.99906,3.08,0.46,8.8,6
1234,4.9,red,0.42,0.0,2.1,0.048,16.0,42.0,0.99154,3.71,0.74,14.0,7
1235,6.6,white,0.34,0.34,2.6,0.051,40.5,210.0,0.99314,3.15,0.61,10.0,5
1236,7.8,white,0.24,0.18,6.7,0.046,33.0,160.0,0.9963,3.2,0.56,9.8,6
1237,6.0,white,0.35,0.46,0.9,0.033,9.0,65.0,0.98934,3.24,0.35,12.1,4
1238,7.0,white,0.22,0.39,2.1,0.055,39.0,198.0,0.9951,3.52,0.54,10.2,6
1239,9.4,white,0.28,0.3,1.6,0.045,36.0,139.0,0.99534,3.11,0.49,9.3,5
1240,7.4,white,0.25,0.36,13.2,0.067,53.0,178.0,0.9976,3.01,0.48,9.0,6
1241,7.8,red,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6
1242,6.7,white,0.15,0.38,1.7,0.037,20.0,84.0,0.99046,3.09,0.53,11.4,6
1243,8.7,red,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,10.6,7
1244,6.6,white,0.26,0.52,8.2,0.047,52.0,191.0,0.99541,3.16,0.47,9.5,6
1245,6.5,white,0.22,0.25,17.1,0.05,44.0,138.0,1.0001,3.3,0.37,8.8,5
1246,6.6,white,0.25,0.24,1.7,0.048,26.0,124.0,0.9942,3.37,0.6,10.1,6
1247,7.1,white,0.3,0.36,6.8,0.055,44.5,234.0,0.9972,3.49,0.64,10.2,6
1248,7.1,white,0.47,0.24,6.0,0.044,11.0,77.0,0.9956,3.21,0.56,9.7,5
1249,9.8,red,0.3,0.39,1.7,0.062,3.0,9.0,0.9948,3.14,0.57,11.5,7
1250,7.0,red,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,9.2,5
1251,9.4,white,0.16,0.23,1.6,0.042,14.0,67.0,0.9942,3.07,0.32,9.5,5
1252,6.6,white,0.46,0.49,7.4,0.052,19.0,184.0,0.9956,3.11,0.38,9.0,5
1253,6.8,white,0.25,0.34,14.0,0.032,47.0,133.0,0.9952,3.37,0.5,12.2,7
1254,6.1,white,0.27,0.32,1.1,0.034,24.0,110.0,0.9898,3.36,0.4,12.5,6
1255,7.5,red,0.61,0.26,1.9,0.073,24.0,88.0,0.99612,3.3,0.53,9.8,5
1256,6.9,white,0.31,0.32,1.2,0.024,20.0,166.0,0.99208,3.05,0.54,9.8,6
1257,8.0,white,0.27,0.24,1.2,0.044,20.0,102.0,0.9929,3.28,0.42,10.9,5
1258,5.3,white,0.3,0.3,1.2,0.029,25.0,93.0,0.98742,3.31,0.4,13.6,7
1259,8.5,white,0.28,0.34,13.8,0.041,32.0,161.0,0.9981,3.13,0.4,9.9,6
1260,6.4,white,0.14,0.31,1.2,0.034,53.0,138.0,0.99084,3.38,0.35,11.5,7
1261,6.8,white,0.3,0.22,6.2,0.06,41.0,190.0,0.99858,3.18,0.51,9.2,5
1262,5.4,white,0.53,0.16,2.7,0.036,34.0,128.0,0.98856,3.2,0.53,13.2,8
1263,5.8,white,0.28,0.28,4.2,0.044,52.0,158.0,0.992,3.35,0.44,10.7,7
1264,7.3,white,0.205,0.31,1.7,0.06,34.0,110.0,0.9963,3.72,0.69,10.5,6
1265,7.2,red,0.33,0.33,1.7,0.061,3.0,13.0,0.996,3.23,1.1,10.0,8
1266,7.3,white,0.34,0.3,1.3,0.057,25.0,173.0,0.9948,3.26,0.51,9.1,6
1267,8.0,white,0.44,0.49,9.1,0.031,46.0,151.0,0.9926,3.16,0.27,12.7,8
1268,7.2,white,0.25,0.39,18.95,0.038,42.0,155.0,0.9999,2.97,0.47,9.0,6
1269,6.0,white,0.41,0.21,1.9,0.05,29.0,122.0,0.9928,3.42,0.52,10.5,6
1270,9.1,red,0.37,0.32,2.1,0.064,4.0,15.0,0.99576,3.3,0.8,11.2,6
1271,7.2,white,0.18,0.41,1.2,0.048,41.0,97.0,0.9919,3.14,0.45,10.4,5
1272,9.8,red,0.51,0.19,3.2,0.081,8.0,30.0,0.9984,3.23,0.58,10.5,6
1273,6.5,white,0.19,0.32,1.4,0.04,31.0,132.0,0.9922,3.36,0.54,10.8,7
1274,5.7,white,0.25,0.27,11.5,0.04,24.0,120.0,0.99411,3.33,0.31,10.8,6
1275,6.2,white,0.28,0.45,7.5,0.045,46.0,203.0,0.99573,3.26,0.46,9.2,6
1276,7.3,white,0.24,0.43,2.0,0.021,20.0,69.0,0.99,3.08,0.56,12.2,6
1277,8.1,white,0.24,0.33,10.2,0.048,46.0,141.0,0.9972,3.16,0.48,10.3,6
